i,e,y,u,
2531,0.610,24.382,1712.204,
2532,0.618,24.374,1712.266,
2533,0.626,24.366,1712.328,
2534,0.634,24.358,1712.392,
2535,0.642,24.351,1712.456,
2536,0.649,24.343,1712.521,
2537,0.657,24.335,1712.587,
2538,0.665,24.327,1712.653,
2539,0.673,24.319,1712.720,
2540,0.681,24.312,1712.788,
2541,0.688,24.305,1712.857,
2542,0.695,24.298,1712.926,
2543,0.702,24.292,1712.996,
2544,0.708,24.285,1713.067,
2545,0.715,24.280,1713.138,
2546,0.720,24.275,1713.210,
2547,0.725,24.270,1713.283,
2548,0.730,24.266,1713.355,
2549,0.734,24.262,1713.428,
2550,0.738,24.260,1713.502,
2551,0.740,24.258,1713.576,
2552,0.742,24.256,1713.649,
2553,0.744,24.256,1713.723,
2554,0.744,24.256,1713.797,
2555,0.744,24.257,1713.872,
2556,0.743,24.259,1713.945,
2557,0.741,24.261,1714.019,
2558,0.739,24.264,1714.093,
2559,0.736,24.268,1714.166,
2560,0.732,24.273,1714.239,
2561,0.727,24.278,1714.311,
2562,0.722,24.284,1714.383,
2563,0.716,24.291,1714.454,
2564,0.709,24.298,1714.525,
2565,0.702,24.306,1714.595,
2566,0.694,24.314,1714.664,
2567,0.686,24.322,1714.732,
2568,0.678,24.331,1714.800,
2569,0.669,24.340,1714.867,
2570,0.660,24.349,1714.932,
2571,0.651,24.359,1714.997,
2572,0.641,24.368,1715.061,
2573,0.632,24.378,1715.125,
2574,0.622,24.387,1715.187,
2575,0.613,24.397,1715.248,
2576,0.603,24.407,1715.308,
2577,0.593,24.416,1715.368,
2578,0.584,24.425,1715.426,
2579,0.575,24.434,1715.484,
2580,0.566,24.443,1715.540,
2581,0.557,24.452,1715.596,
2582,0.548,24.461,1715.651,
2583,0.539,24.469,1715.705,
2584,0.531,24.477,1715.758,
2585,0.523,24.485,1715.811,
2586,0.515,24.492,1715.862,
2587,0.508,24.499,1715.913,
2588,0.501,24.506,1715.963,
2589,0.494,24.513,1716.013,
2590,0.487,24.519,1716.062,
2591,0.481,24.525,1716.110,
2592,0.475,24.531,1716.158,
2593,0.469,24.536,1716.205,
2594,0.464,24.541,1716.251,
2595,0.459,24.546,1716.297,
2596,0.454,24.550,1716.343,
2597,0.450,24.555,1716.388,
2598,0.445,24.559,1716.433,
2599,0.441,24.562,1716.477,
2600,0.438,24.566,1716.521,
2601,0.434,24.569,1716.565,
2602,0.431,24.571,1716.608,
2603,0.429,24.574,1716.651,
2604,0.426,24.576,1716.694,
2605,0.424,24.578,1716.736,
2606,0.422,24.580,1716.778,
2607,0.420,24.581,1716.821,
2608,0.419,24.582,1716.863,
2609,0.418,24.583,1716.904,
2610,0.417,24.584,1716.946,
2611,0.416,24.584,1716.988,
2612,0.416,24.585,1717.030,
2613,0.415,24.585,1717.071,
2614,0.415,24.584,1717.113,
2615,0.416,24.584,1717.155,
2616,0.416,24.583,1717.196,
2617,0.417,24.582,1717.238,
2618,0.418,24.581,1717.280,
2619,0.419,24.579,1717.322,
2620,0.421,24.577,1717.364,
2621,0.423,24.575,1717.407,
2622,0.425,24.573,1717.449,
2623,0.427,24.571,1717.492,
2624,0.429,24.568,1717.535,
2625,0.432,24.565,1717.579,
2626,0.435,24.562,1717.622,
2627,0.438,24.559,1717.666,
2628,0.441,24.555,1717.710,
2629,0.445,24.551,1717.755,
2630,0.449,24.547,1717.800,
2631,0.453,24.543,1717.845,
2632,0.457,24.538,1717.891,
2633,0.462,24.534,1717.937,
2634,0.466,24.529,1717.984,
2635,0.471,24.524,1718.031,
2636,0.476,24.519,1718.079,
2637,0.481,24.513,1718.127,
2638,0.487,24.507,1718.176,
2639,0.493,24.502,1718.225,
2640,0.498,24.496,1718.275,
2641,0.504,24.489,1718.326,
2642,0.511,24.483,1718.377,
2643,0.517,24.477,1718.429,
2644,0.523,24.470,1718.481,
2645,0.530,24.463,1718.534,
2646,0.537,24.457,1718.588,
2647,0.543,24.450,1718.642,
2648,0.550,24.443,1718.697,
2649,0.557,24.436,1718.753,
2650,0.564,24.430,1718.809,
2651,0.570,24.423,1718.867,
2652,0.577,24.416,1718.924,
2653,0.584,24.409,1718.983,
2654,0.591,24.403,1719.042,
2655,0.597,24.397,1719.101,
2656,0.603,24.391,1719.161,
2657,0.609,24.385,1719.222,
2658,0.615,24.379,1719.284,
2659,0.621,24.374,1719.346,
2660,0.626,24.369,1719.408,
2661,0.631,24.364,1719.471,
2662,0.636,24.360,1719.535,
2663,0.640,24.356,1719.598,
2664,0.644,24.353,1719.662,
2665,0.647,24.350,1719.727,
2666,0.650,24.348,1719.792,
2667,0.652,24.346,1719.857,
2668,0.654,24.345,1719.922,
2669,0.655,24.345,1719.987,
2670,0.655,24.345,1720.052,
2671,0.655,24.345,1720.117,
2672,0.655,24.347,1720.183,
2673,0.653,24.348,1720.248,
2674,0.652,24.351,1720.312,
2675,0.649,24.354,1720.377,
2676,0.646,24.358,1720.441,
2677,0.642,24.362,1720.505,
2678,0.638,24.366,1720.569,
2679,0.634,24.371,1720.632,
2680,0.629,24.377,1720.695,
2681,0.623,24.383,1720.757,
2682,0.617,24.389,1720.818,
2683,0.611,24.396,1720.879,
2684,0.604,24.403,1720.939,
2685,0.597,24.411,1720.999,
2686,0.589,24.418,1721.058,
2687,0.582,24.426,1721.116,
2688,0.574,24.434,1721.173,
2689,0.566,24.442,1721.229,
2690,0.558,24.450,1721.285,
2691,0.550,24.458,1721.340,
2692,0.542,24.467,1721.394,
2693,0.533,24.475,1721.447,
2694,0.525,24.483,1721.500,
2695,0.517,24.491,1721.552,
2696,0.509,24.499,1721.603,
2697,0.501,24.507,1721.653,
2698,0.493,24.515,1721.702,
2699,0.485,24.523,1721.751,
2700,0.477,24.530,1721.798,
2701,0.470,24.538,1721.845,
2702,0.462,24.545,1721.892,
2703,0.455,24.552,1721.937,
2704,0.448,24.559,1721.982,
2705,0.441,24.566,1722.026,
2706,0.434,24.572,1722.070,
2707,0.428,24.578,1722.113,
2708,0.422,24.584,1722.155,
2709,0.416,24.590,1722.197,
2710,0.410,24.596,1722.238,
2711,0.404,24.601,1722.278,
2712,0.399,24.606,1722.318,
2713,0.394,24.611,1722.358,
2714,0.389,24.616,1722.397,
2715,0.384,24.621,1722.435,
2716,0.379,24.625,1722.473,
2717,0.375,24.629,1722.511,
2718,0.371,24.633,1722.548,
2719,0.367,24.637,1722.585,
2720,0.363,24.640,1722.621,
2721,0.360,24.644,1722.657,
2722,0.356,24.647,1722.693,
2723,0.353,24.650,1722.729,
2724,0.350,24.652,1722.764,
2725,0.348,24.655,1722.799,
2726,0.345,24.657,1722.833,
2727,0.343,24.660,1722.867,
2728,0.340,24.662,1722.902,
2729,0.338,24.664,1722.935,
2730,0.336,24.665,1722.969,
2731,0.335,24.667,1723.003,
2732,0.333,24.668,1723.036,
2733,0.332,24.670,1723.069,
2734,0.330,24.671,1723.102,
2735,0.329,24.671,1723.136,
2736,0.329,24.672,1723.168,
2737,0.328,24.673,1723.201,
2738,0.327,24.673,1723.234,
2739,0.327,24.674,1723.267,
2740,0.326,24.674,1723.300,
2741,0.326,24.674,1723.332,
2742,0.326,24.673,1723.365,
2743,0.327,24.673,1723.398,
2744,0.327,24.673,1723.431,
2745,0.327,24.672,1723.463,
2746,0.328,24.671,1723.496,
2747,0.329,24.670,1723.529,
2748,0.330,24.669,1723.562,
2749,0.331,24.668,1723.595,
2750,0.332,24.667,1723.629,
2751,0.333,24.665,1723.662,
2752,0.335,24.663,1723.696,
2753,0.337,24.662,1723.729,
2754,0.338,24.660,1723.763,
2755,0.340,24.658,1723.797,
2756,0.342,24.655,1723.832,
2757,0.345,24.653,1723.866,
2758,0.347,24.650,1723.901,
2759,0.350,24.648,1723.936,
2760,0.352,24.645,1723.971,
2761,0.355,24.642,1724.007,
2762,0.358,24.639,1724.043,
2763,0.361,24.635,1724.079,
2764,0.365,24.632,1724.115,
2765,0.368,24.628,1724.152,
2766,0.372,24.625,1724.190,
2767,0.375,24.621,1724.227,
2768,0.379,24.617,1724.265,
2769,0.383,24.613,1724.304,
2770,0.387,24.608,1724.342,
2771,0.392,24.604,1724.382,
2772,0.396,24.599,1724.421,
2773,0.401,24.595,1724.461,
2774,0.405,24.590,1724.502,
2775,0.410,24.585,1724.543,
2776,0.415,24.580,1724.585,
2777,0.420,24.575,1724.627,
2778,0.425,24.569,1724.669,
2779,0.431,24.564,1724.712,
2780,0.436,24.559,1724.756,
2781,0.441,24.553,1724.800,
2782,0.447,24.547,1724.845,
2783,0.453,24.542,1724.890,
2784,0.458,24.536,1724.936,
2785,0.464,24.530,1724.982,
2786,0.470,24.525,1725.029,
2787,0.475,24.519,1725.077,
2788,0.481,24.513,1725.125,
2789,0.487,24.507,1725.174,
2790,0.493,24.502,1725.223,
2791,0.498,24.496,1725.273,
2792,0.504,24.491,1725.323,
2793,0.509,24.485,1725.374,
2794,0.515,24.480,1725.425,
2795,0.520,24.475,1725.477,
2796,0.525,24.470,1725.530,
2797,0.530,24.466,1725.583,
2798,0.534,24.461,1725.636,
2799,0.539,24.457,1725.690,
2800,0.543,24.453,1725.744,
2801,0.547,24.449,1725.798,
2802,0.551,24.446,1725.853,
2803,0.554,24.443,1725.909,
2804,0.557,24.441,1725.964,
2805,0.559,24.438,1726.020,
2806,0.562,24.437,1726.076,
2807,0.563,24.435,1726.132,
2808,0.565,24.434,1726.188,
2809,0.566,24.434,1726.245,
2810,0.566,24.434,1726.301,
2811,0.566,24.434,1726.357,
2812,0.566,24.435,1726.414,
2813,0.565,24.436,1726.470,
2814,0.564,24.438,1726.526,
2815,0.562,24.440,1726.582,
2816,0.560,24.442,1726.638,
2817,0.558,24.445,1726.694,
2818,0.555,24.449,1726.749,
2819,0.551,24.453,1726.804,
2820,0.547,24.457,1726.858,
2821,0.543,24.461,1726.912,
2822,0.539,24.466,1726.966,
2823,0.534,24.471,1727.019,
2824,0.529,24.477,1727.072,
2825,0.523,24.482,1727.124,
2826,0.518,24.488,1727.176,
2827,0.512,24.494,1727.227,
2828,0.506,24.501,1727.277,
2829,0.499,24.507,1727.327,
2830,0.493,24.514,1727.376,
2831,0.486,24.520,1727.425,
2832,0.480,24.527,1727.473,
2833,0.473,24.534,1727.520,
2834,0.466,24.541,1727.567,
2835,0.459,24.548,1727.613,
2836,0.452,24.555,1727.658,
2837,0.445,24.562,1727.702,
2838,0.438,24.568,1727.746,
2839,0.432,24.575,1727.789,
2840,0.425,24.582,1727.832,
2841,0.418,24.589,1727.874,
2842,0.411,24.595,1727.915,
2843,0.405,24.602,1727.956,
2844,0.398,24.608,1727.995,
2845,0.392,24.614,1728.035,
2846,0.386,24.620,1728.073,
2847,0.380,24.626,1728.111,
2848,0.374,24.632,1728.149,
2849,0.368,24.638,1728.186,
2850,0.362,24.643,1728.222,
2851,0.357,24.649,1728.258,
2852,0.351,24.654,1728.293,
2853,0.346,24.659,1728.328,
2854,0.341,24.664,1728.362,
2855,0.336,24.669,1728.395,
2856,0.331,24.674,1728.429,
2857,0.326,24.678,1728.461,
2858,0.322,24.683,1728.493,
2859,0.317,24.687,1728.525,
2860,0.313,24.691,1728.557,
2861,0.309,24.695,1728.588,
2862,0.305,24.699,1728.618,
2863,0.301,24.703,1728.648,
2864,0.297,24.706,1728.678,
2865,0.294,24.710,1728.707,
2866,0.290,24.713,1728.737,
2867,0.287,24.716,1728.765,
2868,0.284,24.719,1728.794,
2869,0.281,24.722,1728.822,
2870,0.278,24.725,1728.850,
2871,0.275,24.728,1728.877,
2872,0.272,24.730,1728.904,
2873,0.270,24.733,1728.931,
2874,0.267,24.735,1728.958,
2875,0.265,24.738,1728.985,
2876,0.262,24.740,1729.011,
2877,0.260,24.742,1729.037,
2878,0.258,24.744,1729.063,
2879,0.256,24.746,1729.089,
2880,0.254,24.747,1729.114,
2881,0.253,24.749,1729.140,
2882,0.251,24.750,1729.165,
2883,0.250,24.752,1729.190,
2884,0.248,24.753,1729.215,
2885,0.247,24.754,1729.239,
2886,0.246,24.756,1729.264,
2887,0.244,24.757,1729.288,
2888,0.243,24.758,1729.313,
2889,0.242,24.758,1729.337,
2890,0.242,24.759,1729.361,
2891,0.241,24.760,1729.385,
2892,0.240,24.761,1729.409,
2893,0.239,24.761,1729.433,
2894,0.239,24.762,1729.457,
2895,0.238,24.762,1729.481,
2896,0.238,24.762,1729.505,
2897,0.238,24.762,1729.529,
2898,0.238,24.763,1729.553,
2899,0.237,24.763,1729.576,
2900,0.237,24.763,1729.600,
2901,0.237,24.763,1729.624,
2902,0.237,24.762,1729.648,
2903,0.238,24.762,1729.672,
2904,0.238,24.762,1729.695,
2905,0.238,24.761,1729.719,
2906,0.239,24.761,1729.743,
2907,0.239,24.760,1729.767,
2908,0.240,24.760,1729.791,
2909,0.240,24.759,1729.815,
2910,0.241,24.758,1729.839,
2911,0.242,24.757,1729.864,
2912,0.243,24.756,1729.888,
2913,0.244,24.755,1729.912,
2914,0.245,24.754,1729.937,
2915,0.246,24.753,1729.962,
2916,0.247,24.751,1729.986,
2917,0.249,24.750,1730.011,
2918,0.250,24.749,1730.036,
2919,0.251,24.747,1730.061,
2920,0.253,24.745,1730.087,
2921,0.255,24.744,1730.112,
2922,0.256,24.742,1730.138,
2923,0.258,24.740,1730.164,
2924,0.260,24.738,1730.190,
2925,0.262,24.736,1730.216,
2926,0.264,24.734,1730.243,
2927,0.266,24.732,1730.269,
2928,0.268,24.729,1730.296,
2929,0.271,24.727,1730.323,
2930,0.273,24.724,1730.351,
2931,0.276,24.722,1730.378,
2932,0.278,24.719,1730.406,
2933,0.281,24.716,1730.434,
2934,0.284,24.714,1730.463,
2935,0.286,24.711,1730.491,
2936,0.289,24.708,1730.520,
2937,0.292,24.704,1730.549,
2938,0.296,24.701,1730.579,
2939,0.299,24.698,1730.609,
2940,0.302,24.694,1730.639,
2941,0.306,24.691,1730.670,
2942,0.309,24.687,1730.701,
2943,0.313,24.684,1730.732,
2944,0.316,24.680,1730.764,
2945,0.320,24.676,1730.796,
2946,0.324,24.672,1730.828,
2947,0.328,24.668,1730.861,
2948,0.332,24.664,1730.894,
2949,0.336,24.660,1730.928,
2950,0.340,24.656,1730.962,
2951,0.344,24.651,1730.996,
2952,0.349,24.647,1731.031,
2953,0.353,24.643,1731.067,
2954,0.357,24.638,1731.102,
2955,0.362,24.634,1731.139,
2956,0.366,24.629,1731.175,
2957,0.371,24.624,1731.212,
2958,0.376,24.620,1731.250,
2959,0.380,24.615,1731.288,
2960,0.385,24.610,1731.327,
2961,0.390,24.606,1731.365,
2962,0.394,24.601,1731.405,
2963,0.399,24.596,1731.445,
2964,0.404,24.592,1731.485,
2965,0.408,24.587,1731.526,
2966,0.413,24.583,1731.567,
2967,0.417,24.578,1731.609,
2968,0.422,24.574,1731.651,
2969,0.426,24.569,1731.694,
2970,0.431,24.565,1731.737,
2971,0.435,24.561,1731.780,
2972,0.439,24.557,1731.824,
2973,0.443,24.553,1731.868,
2974,0.447,24.550,1731.913,
2975,0.450,24.546,1731.958,
2976,0.454,24.543,1732.003,
2977,0.457,24.540,1732.049,
2978,0.460,24.537,1732.095,
2979,0.463,24.534,1732.141,
2980,0.466,24.532,1732.187,
2981,0.468,24.530,1732.234,
2982,0.470,24.528,1732.281,
2983,0.472,24.526,1732.328,
2984,0.474,24.525,1732.375,
2985,0.475,24.524,1732.423,
2986,0.476,24.523,1732.470,
2987,0.477,24.523,1732.518,
2988,0.477,24.523,1732.565,
2989,0.477,24.523,1732.613,
2990,0.477,24.523,1732.660,
2991,0.477,24.524,1732.708,
2992,0.476,24.525,1732.755,
2993,0.475,24.527,1732.803,
2994,0.473,24.529,1732.850,
2995,0.471,24.531,1732.897,
2996,0.469,24.533,1732.943,
2997,0.467,24.536,1732.990,
2998,0.464,24.539,1733.036,
2999,0.461,24.542,1733.082,
3000,0.458,24.546,1733.128,
3001,0.454,24.549,1733.173,
3002,0.451,24.553,1733.218,
3003,0.447,24.558,1733.263,
3004,0.442,24.562,1733.307,
3005,0.438,24.566,1733.350,
3006,0.434,24.571,1733.394,
3007,0.429,24.576,1733.437,
3008,0.424,24.581,1733.479,
3009,0.419,24.586,1733.521,
3010,0.414,24.591,1733.562,
3011,0.409,24.597,1733.603,
3012,0.403,24.602,1733.643,
3013,0.398,24.608,1733.683,
3014,0.392,24.613,1733.722,
3015,0.387,24.619,1733.761,
3016,0.381,24.624,1733.799,
3017,0.376,24.630,1733.836,
3018,0.370,24.635,1733.873,
3019,0.365,24.641,1733.910,
3020,0.359,24.646,1733.946,
3021,0.354,24.652,1733.981,
3022,0.348,24.657,1734.016,
3023,0.343,24.663,1734.050,
3024,0.337,24.668,1734.084,
3025,0.332,24.673,1734.117,
3026,0.327,24.678,1734.150,
3027,0.322,24.684,1734.182,
3028,0.316,24.689,1734.214,
3029,0.311,24.694,1734.245,
3030,0.306,24.698,1734.276,
3031,0.302,24.703,1734.306,
3032,0.297,24.708,1734.336,
3033,0.292,24.713,1734.365,
3034,0.287,24.717,1734.394,
3035,0.283,24.722,1734.422,
3036,0.278,24.726,1734.450,
3037,0.274,24.730,1734.477,
3038,0.270,24.734,1734.504,
3039,0.266,24.738,1734.531,
3040,0.262,24.742,1734.557,
3041,0.258,24.746,1734.583,
3042,0.254,24.750,1734.609,
3043,0.250,24.753,1734.634,
3044,0.247,24.757,1734.658,
3045,0.243,24.761,1734.683,
3046,0.239,24.764,1734.707,
3047,0.236,24.767,1734.730,
3048,0.233,24.770,1734.754,
3049,0.230,24.774,1734.777,
3050,0.226,24.777,1734.799,
3051,0.223,24.780,1734.822,
3052,0.220,24.782,1734.844,
3053,0.218,24.785,1734.866,
3054,0.215,24.788,1734.887,
3055,0.212,24.791,1734.908,
3056,0.209,24.793,1734.929,
3057,0.207,24.796,1734.950,
3058,0.204,24.798,1734.970,
3059,0.202,24.800,1734.991,
3060,0.200,24.803,1735.011,
3061,0.197,24.805,1735.031,
3062,0.195,24.807,1735.050,
3063,0.193,24.809,1735.069,
3064,0.191,24.811,1735.089,
3065,0.189,24.813,1735.107,
3066,0.187,24.815,1735.126,
3067,0.185,24.817,1735.145,
3068,0.183,24.818,1735.163,
3069,0.182,24.820,1735.181,
3070,0.180,24.822,1735.199,
3071,0.178,24.823,1735.217,
3072,0.177,24.825,1735.235,
3073,0.175,24.826,1735.252,
3074,0.174,24.828,1735.270,
3075,0.172,24.829,1735.287,
3076,0.171,24.831,1735.304,
3077,0.169,24.832,1735.321,
3078,0.168,24.833,1735.338,
3079,0.167,24.834,1735.355,
3080,0.166,24.835,1735.371,
3081,0.165,24.836,1735.388,
3082,0.164,24.837,1735.404,
3083,0.163,24.839,1735.420,
3084,0.161,24.839,1735.437,
3085,0.161,24.840,1735.453,
3086,0.160,24.841,1735.469,
3087,0.159,24.842,1735.485,
3088,0.158,24.843,1735.500,
3089,0.157,24.844,1735.516,
3090,0.156,24.844,1735.532,
3091,0.156,24.845,1735.547,
3092,0.155,24.846,1735.563,
3093,0.154,24.846,1735.578,
3094,0.154,24.847,1735.594,
3095,0.153,24.848,1735.609,
3096,0.152,24.848,1735.624,
3097,0.152,24.849,1735.639,
3098,0.151,24.849,1735.655,
3099,0.151,24.849,1735.670,
3100,0.151,24.850,1735.685,
3101,0.150,24.850,1735.700,
3102,0.150,24.850,1735.715,
3103,0.150,24.851,1735.730,
3104,0.149,24.851,1735.745,
3105,0.149,24.851,1735.760,
3106,0.149,24.851,1735.775,
3107,0.149,24.851,1735.790,
3108,0.149,24.852,1735.804,
3109,0.148,24.852,1735.819,
3110,0.148,24.852,1735.834,
3111,0.148,24.852,1735.849,
3112,0.148,24.852,1735.864,
3113,0.148,24.852,1735.879,
3114,0.148,24.852,1735.893,
3115,0.148,24.851,1735.908,
3116,0.149,24.851,1735.923,
3117,0.149,24.851,1735.938,
3118,0.149,24.851,1735.953,
3119,0.149,24.851,1735.968,
3120,0.149,24.850,1735.983,
3121,0.150,24.850,1735.998,
3122,0.150,24.850,1736.013,
3123,0.150,24.850,1736.028,
3124,0.150,24.849,1736.043,
3125,0.151,24.849,1736.058,
3126,0.151,24.848,1736.073,
3127,0.152,24.848,1736.088,
3128,0.152,24.847,1736.104,
3129,0.153,24.847,1736.119,
3130,0.153,24.846,1736.134,
3131,0.154,24.846,1736.150,
3132,0.154,24.845,1736.165,
3133,0.155,24.844,1736.181,
3134,0.156,24.844,1736.196,
3135,0.156,24.843,1736.212,
3136,0.157,24.842,1736.228,
3137,0.158,24.841,1736.243,
3138,0.159,24.840,1736.259,
3139,0.160,24.839,1736.275,
3140,0.161,24.839,1736.291,
3141,0.161,24.838,1736.308,
3142,0.162,24.837,1736.324,
3143,0.163,24.836,1736.340,
3144,0.164,24.835,1736.357,
3145,0.165,24.833,1736.373,
3146,0.167,24.832,1736.390,
3147,0.168,24.831,1736.407,
3148,0.169,24.830,1736.424,
3149,0.170,24.829,1736.441,
3150,0.171,24.827,1736.458,
3151,0.173,24.826,1736.475,
3152,0.174,24.825,1736.492,
3153,0.175,24.823,1736.510,
3154,0.177,24.822,1736.528,
3155,0.178,24.820,1736.546,
3156,0.180,24.819,1736.564,
3157,0.181,24.817,1736.582,
3158,0.183,24.815,1736.600,
3159,0.185,24.814,1736.619,
3160,0.186,24.812,1736.637,
3161,0.188,24.810,1736.656,
3162,0.190,24.808,1736.675,
3163,0.192,24.806,1736.694,
3164,0.194,24.805,1736.714,
3165,0.195,24.803,1736.733,
3166,0.197,24.801,1736.753,
3167,0.199,24.798,1736.773,
3168,0.202,24.796,1736.793,
3169,0.204,24.794,1736.814,
3170,0.206,24.792,1736.834,
3171,0.208,24.790,1736.855,
3172,0.210,24.787,1736.876,
3173,0.213,24.785,1736.897,
3174,0.215,24.782,1736.919,
3175,0.218,24.780,1736.941,
3176,0.220,24.777,1736.963,
3177,0.223,24.775,1736.985,
3178,0.225,24.772,1737.008,
3179,0.228,24.769,1737.030,
3180,0.231,24.767,1737.053,
3181,0.233,24.764,1737.077,
3182,0.236,24.761,1737.100,
3183,0.239,24.758,1737.124,
3184,0.242,24.755,1737.149,
3185,0.245,24.752,1737.173,
3186,0.248,24.749,1737.198,
3187,0.251,24.746,1737.223,
3188,0.254,24.743,1737.248,
3189,0.257,24.740,1737.274,
3190,0.260,24.736,1737.300,
3191,0.264,24.733,1737.327,
3192,0.267,24.730,1737.353,
3193,0.270,24.726,1737.380,
3194,0.274,24.723,1737.408,
3195,0.277,24.719,1737.435,
3196,0.281,24.716,1737.464,
3197,0.284,24.712,1737.492,
3198,0.288,24.709,1737.521,
3199,0.291,24.705,1737.550,
3200,0.295,24.702,1737.579,
3201,0.298,24.698,1737.609,
3202,0.302,24.694,1737.639,
3203,0.306,24.691,1737.670,
3204,0.309,24.687,1737.701,
3205,0.313,24.684,1737.732,
3206,0.316,24.680,1737.764,
3207,0.320,24.676,1737.796,
3208,0.324,24.673,1737.828,
3209,0.327,24.669,1737.861,
3210,0.331,24.666,1737.894,
3211,0.334,24.662,1737.927,
3212,0.338,24.659,1737.961,
3213,0.341,24.655,1737.995,
3214,0.345,24.652,1738.030,
3215,0.348,24.649,1738.064,
3216,0.351,24.646,1738.100,
3217,0.354,24.643,1738.135,
3218,0.357,24.640,1738.171,
3219,0.360,24.637,1738.207,
3220,0.363,24.634,1738.243,
3221,0.366,24.631,1738.279,
3222,0.369,24.629,1738.316,
3223,0.371,24.627,1738.353,
3224,0.373,24.624,1738.391,
3225,0.376,24.622,1738.428,
3226,0.378,24.620,1738.466,
3227,0.380,24.619,1738.504,
3228,0.381,24.617,1738.542,
3229,0.383,24.616,1738.580,
3230,0.384,24.615,1738.618,
3231,0.385,24.614,1738.657,
3232,0.386,24.613,1738.695,
3233,0.387,24.612,1738.734,
3234,0.388,24.612,1738.772,
3235,0.388,24.612,1738.811,
3236,0.388,24.612,1738.850,
3237,0.388,24.612,1738.889,
3238,0.388,24.612,1738.927,
3239,0.388,24.613,1738.966,
3240,0.387,24.614,1739.005,
3241,0.386,24.615,1739.043,
3242,0.385,24.616,1739.082,
3243,0.384,24.618,1739.120,
3244,0.382,24.619,1739.158,
3245,0.381,24.621,1739.196,
3246,0.379,24.623,1739.234,
3247,0.377,24.626,1739.271,
3248,0.374,24.628,1739.309,
3249,0.372,24.631,1739.346,
3250,0.369,24.633,1739.383,
3251,0.367,24.636,1739.419,
3252,0.364,24.639,1739.456,
3253,0.361,24.643,1739.491,
3254,0.357,24.646,1739.527,
3255,0.354,24.649,1739.563,
3256,0.351,24.653,1739.597,
3257,0.347,24.657,1739.632,
3258,0.343,24.660,1739.666,
3259,0.340,24.664,1739.700,
3260,0.336,24.668,1739.734,
3261,0.332,24.672,1739.767,
3262,0.328,24.676,1739.800,
3263,0.324,24.680,1739.832,
3264,0.320,24.685,1739.864,
3265,0.315,24.689,1739.896,
3266,0.311,24.693,1739.927,
3267,0.307,24.697,1739.957,
3268,0.303,24.701,1739.988,
3269,0.299,24.706,1740.017,
3270,0.294,24.710,1740.047,
3271,0.290,24.714,1740.076,
3272,0.286,24.718,1740.104,
3273,0.282,24.723,1740.133,
3274,0.277,24.727,1740.160,
3275,0.273,24.731,1740.188,
3276,0.269,24.735,1740.215,
3277,0.265,24.739,1740.241,
3278,0.261,24.743,1740.267,
3279,0.257,24.747,1740.293,
3280,0.253,24.751,1740.318,
3281,0.249,24.755,1740.343,
3282,0.245,24.759,1740.368,
3283,0.241,24.763,1740.392,
3284,0.237,24.767,1740.415,
3285,0.233,24.770,1740.439,
3286,0.230,24.774,1740.462,
3287,0.226,24.778,1740.484,
3288,0.222,24.781,1740.507,
3289,0.219,24.785,1740.529,
3290,0.215,24.788,1740.550,
3291,0.212,24.791,1740.571,
3292,0.209,24.795,1740.592,
3293,0.205,24.798,1740.613,
3294,0.202,24.801,1740.633,
3295,0.199,24.804,1740.653,
3296,0.196,24.807,1740.673,
3297,0.193,24.810,1740.692,
3298,0.190,24.813,1740.711,
3299,0.187,24.816,1740.730,
3300,0.184,24.819,1740.748,
3301,0.181,24.822,1740.766,
3302,0.178,24.825,1740.784,
3303,0.175,24.827,1740.801,
3304,0.173,24.830,1740.819,
3305,0.170,24.832,1740.836,
3306,0.168,24.835,1740.853,
3307,0.165,24.837,1740.869,
3308,0.163,24.840,1740.885,
3309,0.160,24.842,1740.901,
3310,0.158,24.844,1740.917,
3311,0.156,24.847,1740.933,
3312,0.153,24.849,1740.948,
3313,0.151,24.851,1740.963,
3314,0.149,24.853,1740.978,
3315,0.147,24.855,1740.993,
3316,0.145,24.857,1741.007,
3317,0.143,24.859,1741.022,
3318,0.141,24.861,1741.036,
3319,0.139,24.863,1741.050,
3320,0.137,24.865,1741.064,
3321,0.135,24.867,1741.077,
3322,0.133,24.868,1741.090,
3323,0.132,24.870,1741.104,
3324,0.130,24.872,1741.117,
3325,0.128,24.873,1741.129,
3326,0.127,24.875,1741.142,
3327,0.125,24.877,1741.155,
3328,0.123,24.878,1741.167,
3329,0.122,24.880,1741.179,
3330,0.120,24.881,1741.191,
3331,0.119,24.883,1741.203,
3332,0.117,24.884,1741.215,
3333,0.116,24.885,1741.227,
3334,0.115,24.887,1741.238,
3335,0.113,24.888,1741.249,
3336,0.112,24.889,1741.261,
3337,0.111,24.891,1741.272,
3338,0.109,24.892,1741.283,
3339,0.108,24.893,1741.293,
3340,0.107,24.894,1741.304,
3341,0.106,24.895,1741.315,
3342,0.105,24.896,1741.325,
3343,0.104,24.898,1741.336,
3344,0.102,24.899,1741.346,
3345,0.101,24.900,1741.356,
3346,0.100,24.901,1741.366,
3347,0.099,24.902,1741.376,
3348,0.098,24.903,1741.386,
3349,0.097,24.904,1741.396,
3350,0.096,24.905,1741.405,
3351,0.095,24.906,1741.415,
3352,0.094,24.907,1741.424,
3353,0.093,24.907,1741.434,
