i,e,y,u,
212,16.722,8.443,587.181,
213,16.557,8.443,588.762,
214,16.557,8.335,590.500,
215,16.665,8.404,592.220,
216,16.596,8.552,593.792,
217,16.448,8.509,595.397,
218,16.491,8.417,597.141,
219,16.583,8.530,598.824,
220,16.470,8.649,600.369,
221,16.351,8.576,602.000,
222,16.424,8.510,603.739,
223,16.490,8.652,605.384,
224,16.348,8.738,606.915,
225,16.262,8.644,608.569,
226,16.356,8.610,610.295,
227,16.390,8.768,611.904,
228,16.232,8.822,613.431,
229,16.178,8.717,615.101,
230,16.283,8.715,616.809,
231,16.285,8.878,618.386,
232,16.122,8.904,619.916,
233,16.096,8.794,621.594,
234,16.206,8.820,623.282,
235,16.180,8.981,624.832,
236,16.019,8.984,626.367,
237,16.016,8.875,628.047,
238,16.125,8.925,629.716,
239,16.075,9.080,631.244,
240,15.920,9.065,632.783,
241,15.935,8.959,634.462,
242,16.041,9.027,636.112,
243,15.973,9.176,637.622,
244,15.824,9.148,639.163,
245,15.852,9.046,640.837,
246,15.954,9.125,642.470,
247,15.875,9.269,643.966,
248,15.731,9.233,645.507,
249,15.767,9.134,647.174,
250,15.866,9.220,648.792,
251,15.780,9.360,650.277,
252,15.640,9.321,651.814,
253,15.679,9.222,653.472,
254,15.778,9.311,655.079,
255,15.689,9.450,656.555,
256,15.550,9.411,658.084,
257,15.589,9.312,659.733,
258,15.688,9.398,661.331,
259,15.602,9.539,662.799,
260,15.461,9.504,664.318,
261,15.496,9.402,665.955,
262,15.598,9.481,667.548,
263,15.519,9.625,669.010,
264,15.375,9.599,670.515,
265,15.401,9.494,672.140,
266,15.506,9.560,673.730,
267,15.440,9.710,675.188,
268,15.290,9.696,676.676,
269,15.304,9.588,678.288,
270,15.412,9.637,679.876,
271,15.363,9.791,681.334,
272,15.209,9.794,682.802,
273,15.206,9.685,684.398,
274,15.315,9.710,685.986,
275,15.290,9.868,687.448,
276,15.132,9.893,688.895,
277,15.107,9.785,690.472,
278,15.215,9.784,692.060,
279,15.216,9.940,693.528,
280,15.060,9.991,694.955,
281,15.009,9.891,696.509,
282,15.109,9.858,698.095,
283,15.142,10.005,699.576,
284,14.995,10.086,700.986,
285,14.914,10.001,702.510,
286,14.999,9.938,704.093,
287,15.062,10.064,705.588,
288,14.936,10.175,706.987,
289,14.825,10.114,708.477,
290,14.886,10.025,710.051,
291,14.975,10.118,711.564,
292,14.882,10.255,712.960,
293,14.745,10.228,714.413,
294,14.772,10.122,715.972,
295,14.878,10.171,717.500,
296,14.829,10.324,718.905,
297,14.676,10.340,720.320,
298,14.660,10.232,721.855,
299,14.768,10.227,723.394,
300,14.773,10.380,724.819,
301,14.620,10.443,726.203,
302,14.557,10.352,727.703,
303,14.648,10.296,729.245,
304,14.704,10.424,730.698,
305,14.576,10.533,732.064,
306,14.467,10.477,733.520,
307,14.523,10.383,735.055,
308,14.617,10.461,736.536,
309,14.539,10.605,737.903,
310,14.395,10.600,739.310,
311,14.400,10.491,740.824,
312,14.509,10.504,742.327,
313,14.496,10.656,743.716,
314,14.344,10.711,745.080,
